PRODUCTID,TYPECODE,PRODCATEGORYID,CREATEDBY,CREATEDAT,CHANGEDBY,CHANGEDAT,SUPPLIER_PARTNERID,TAXTARIFFCODE,QUANTITYUNIT,WEIGHTMEASURE,WEIGHTUNIT,CURRENCY,PRICE,WIDTH,DEPTH,HEIGHT,DIMENSIONUNIT,PRODUCTPICURL,PARTNERROLE,EMAILADDRESS,PHONENUMBER,FAXNUMBER,WEBADDRESS,ADDRESSID,COMPANYNAME,LEGALFORM,CREATEDBY_1,CREATEDAT_1,CHANGEDBY_1,CHANGEDAT_1,CURRENCY_1
RO-1001,PR,RO,0000000009,20181003,0000000009,20181003,0100000000,1,EA,7.7,KG,USD,525,,,,,,2,maria.brown@all4bikes.com,622734567,,http://www.all4bikes.com,1000000034,All For Bikes,Inc.,0000000010,20181003,0000000010,20181003,USD
RO-1002,PR,RO,0000000009,20181003,0000000009,20181003,0100000001,1,EA,8.0,KG,USD,689,,,,,,2,bob.buyer@amazebikes.com,3088530,,http://www.amazebikes.com,1000000035,Amaze Bikes Inc,Inc.,0000000013,20181003,0000000013,20181003,USD
RO-1003,PR,RO,0000000012,20181003,0000000012,20181003,0100000002,1,EA,9.1,KG,USD,721,,,,,,2,victor.sanchez@arenasportusa.com,3023352668,,http://www.arenasportusa.com,1000000036,Arena Sports Inc,Inc.,0000000014,20181003,0000000014,20181003,USD
BX-1011,PR,BX,0000000009,20181003,0000000009,20181003,0100000003,1,EA,11.1,KG,USD,249,,,,,,2,franklin.jones@atlantausa.com,511403266,,http://www.atlantausa.com,1000000037,Atlanta Corp Inc,Inc.,0000000010,20181003,0000000010,20181003,USD
BX-1012,PR,BX,0000000006,20181003,0000000006,20181003,0100000004,1,EA,12.0,KG,USD,399,,,,,,2,robert_brown@bikeworlds.com,2244668800,,http://www.bikeworlds.com,1000000038,Bike World Inc,Inc.,0000000004,20181003,0000000004,20181003,USD
BX-1013,PR,BX,0000000007,20181003,0000000007,20181003,0100000005,1,EA,13.1,KG,USD,449,,,,,,1,bart.koenig@alphabikes.de,2511415,,http://www.alphabikes.de,1000000039,Alpha AG,AG,0000000006,20181003,0000000006,20181003,EUR
BX-1014,PR,BX,0000000011,20181003,0000000011,20181003,0100000006,1,EA,11.8,KG,USD,799,,,,,,1,sarah.schwind@buchungkreis-gmbh.de,9078563412,,http://www.buchungkreis-gmbh.de,1000000040,BuchungsKreis 1010,GmbH,0000000001,20181003,0000000001,20181003,EUR
BX-1015,PR,BX,0000000008,20181003,0000000008,20181003,0100000007,1,EA,12.5,KG,USD,299,,,,,,1,mirjam.schmidt@trekcycle-berlin.de,149744423,,http://www.trekcycle-berlin.de,1000000041,Trek Cycle AG,AG,0000000008,20181003,0000000008,20181003,EUR
BX-1016,PR,BX,0000000011,20181003,0000000011,20181003,0100000008,1,EA,12.8,KG,USD,319,,,,,,2,saskia.sommer@tonabikes-ag.de,7257716,,http://www.tonabikes-ag.de,1000000042,Tona Bikes AG,AG,0000000008,20181003,0000000008,20181003,EUR
CC-1021,PR,CC,0000000010,20181003,0000000010,20181003,0100000009,1,EA,8.1,KG,USD,1144,,,,,,2,dagmar.schulze@meinebicyclebayern.de,1133557799,,http://www.meinebicyclebayern.de,1000000043,Meine Bicycle,GmbH,0000000013,20181003,0000000013,20181003,EUR
